State,District,Year,Season,Crop,Area_ha,Production_q,Yield_q_per_ha
Andhra Pradesh,Guntur,2015,Rabi,Chickpea,3041,49568,16.3
Andhra Pradesh,Guntur,2015,Kharif,Rice,13623,455008,33.4
Andhra Pradesh,Guntur,2015,Rabi,Onion,18856,478942,25.4
Andhra Pradesh,Guntur,2015,Kharif,Pigeonpea,11115,145606,13.1
Andhra Pradesh,Guntur,2015,Kharif,Jowar,7231,107741,14.9
Andhra Pradesh,Guntur,2015,Kharif,Bajra,7094,102153,14.4
Andhra Pradesh,Guntur,2015,Kharif,Maize,13029,462529,35.5
Andhra Pradesh,Guntur,2015,Rabi,Wheat,9169,347505,37.9
Andhra Pradesh,Guntur,2016,Rabi,Chickpea,10667,184539,17.3
Andhra Pradesh,Guntur,2016,Kharif,Rice,23571,919269,39.0
Andhra Pradesh,Guntur,2016,Rabi,Onion,13403,372603,27.8
Andhra Pradesh,Guntur,2016,Kharif,Pigeonpea,13850,196670,14.2
Andhra Pradesh,Guntur,2016,Kharif,Jowar,3501,51464,14.7
Andhra Pradesh,Guntur,2016,Kharif,Bajra,4614,73824,16.0
Andhra Pradesh,Guntur,2016,Kharif,Maize,14455,503033,34.8
Andhra Pradesh,Guntur,2016,Rabi,Wheat,17954,745091,41.5
Andhra Pradesh,Guntur,2017,Rabi,Chickpea,8865,137407,15.5
Andhra Pradesh,Guntur,2017,Rabi,Rice,8339,323553,38.8
Andhra Pradesh,Guntur,2017,Rabi,Onion,9021,227329,25.2
Andhra Pradesh,Guntur,2017,Kharif,Pigeonpea,10845,150745,13.9
Andhra Pradesh,Guntur,2017,Kharif,Jowar,3832,55947,14.6
Andhra Pradesh,Guntur,2017,Kharif,Bajra,12336,199843,16.2
Andhra Pradesh,Guntur,2017,Rabi,Maize,8913,269172,30.2
Andhra Pradesh,Guntur,2017,Rabi,Wheat,22358,874197,39.1
Andhra Pradesh,Guntur,2018,Rabi,Chickpea,17035,298112,17.5
Andhra Pradesh,Guntur,2018,Kharif,Rice,14081,491426,34.9
Andhra Pradesh,Guntur,2018,Kharif,Onion,15038,398507,26.5
Andhra Pradesh,Guntur,2018,Kharif,Pigeonpea,6532,88182,13.5
Andhra Pradesh,Guntur,2018,Rabi,Jowar,3543,44641,12.6
Andhra Pradesh,Guntur,2018,Kharif,Bajra,7242,99939,13.8
Andhra Pradesh,Guntur,2018,Rabi,Maize,14608,477681,32.7
Andhra Pradesh,Guntur,2018,Rabi,Wheat,21337,917491,43.0
Andhra Pradesh,Guntur,2019,Rabi,Chickpea,2376,42292,17.8
Andhra Pradesh,Guntur,2019,Kharif,Rice,23595,910767,38.6
Andhra Pradesh,Guntur,2019,Kharif,Onion,12146,323083,26.6
Andhra Pradesh,Guntur,2019,Kharif,Pigeonpea,7182,95520,13.3
Andhra Pradesh,Guntur,2019,Rabi,Jowar,10630,130749,12.3
Andhra Pradesh,Guntur,2019,Kharif,Bajra,5486,82290,15.0
Andhra Pradesh,Guntur,2019,Rabi,Maize,18635,644771,34.6
Andhra Pradesh,Guntur,2019,Rabi,Wheat,11293,434780,38.5
Andhra Pradesh,Guntur,2020,Rabi,Chickpea,18010,295364,16.4
Andhra Pradesh,Guntur,2020,Kharif,Rice,17894,601238,33.6
Andhra Pradesh,Guntur,2020,Kharif,Onion,8892,208072,23.4
Andhra Pradesh,Guntur,2020,Kharif,Pigeonpea,17924,225842,12.6
Andhra Pradesh,Guntur,2020,Kharif,Jowar,19455,303498,15.6
Andhra Pradesh,Guntur,2020,Kharif,Bajra,17574,240763,13.7
Andhra Pradesh,Guntur,2020,Kharif,Maize,15865,479123,30.2
Andhra Pradesh,Guntur,2020,Rabi,Wheat,12591,582963,46.3
Andhra Pradesh,Guntur,2021,Rabi,Chickpea,14236,222081,15.6
Andhra Pradesh,Guntur,2021,Rabi,Rice,20794,842157,40.5
Andhra Pradesh,Guntur,2021,Rabi,Onion,3098,72803,23.5
Andhra Pradesh,Guntur,2021,Kharif,Pigeonpea,9540,118296,12.4
Andhra Pradesh,Guntur,2021,Kharif,Jowar,3929,48326,12.3
Andhra Pradesh,Guntur,2021,Kharif,Bajra,3029,40588,13.4
Andhra Pradesh,Guntur,2021,Rabi,Maize,9798,281202,28.7
Andhra Pradesh,Guntur,2021,Rabi,Wheat,13020,568974,43.7
Andhra Pradesh,Guntur,2022,Rabi,Chickpea,17488,295547,16.9
Andhra Pradesh,Guntur,2022,Kharif,Rice,19338,763851,39.5
Andhra Pradesh,Guntur,2022,Rabi,Onion,15124,341802,22.6
Andhra Pradesh,Guntur,2022,Kharif,Pigeonpea,17303,237051,13.7
Andhra Pradesh,Guntur,2022,Kharif,Jowar,5224,76270,14.6
Andhra Pradesh,Guntur,2022,Kharif,Bajra,13118,191522,14.6
Andhra Pradesh,Guntur,2022,Kharif,Maize,8232,247783,30.1
Andhra Pradesh,Guntur,2022,Rabi,Wheat,12012,461260,38.4
Andhra Pradesh,Krishna,2015,Kharif,Cotton,13745,306513,22.3
Andhra Pradesh,Krishna,2015,Rabi,Mustard,17773,243490,13.7
Andhra Pradesh,Krishna,2015,Rabi,Chickpea,3921,68225,17.4
Andhra Pradesh,Krishna,2015,Rabi,Wheat,18793,766754,40.8
Andhra Pradesh,Krishna,2015,Kharif,Ragi,16909,334798,19.8
Andhra Pradesh,Krishna,2015,Rabi,Jowar,17947,245873,13.7
Andhra Pradesh,Krishna,2015,Rabi,Tomato,8133,165913,20.4
Andhra Pradesh,Krishna,2015,Kharif,Rice,23766,895978,37.7
Andhra Pradesh,Krishna,2016,Kharif,Cotton,7873,166907,21.2
Andhra Pradesh,Krishna,2016,Rabi,Mustard,18477,264221,14.3
Andhra Pradesh,Krishna,2016,Rabi,Chickpea,18640,266552,14.3
Andhra Pradesh,Krishna,2016,Rabi,Wheat,8245,375147,45.5
Andhra Pradesh,Krishna,2016,Kharif,Ragi,9707,182491,18.8
Andhra Pradesh,Krishna,2016,Rabi,Jowar,10067,127850,12.7
Andhra Pradesh,Krishna,2016,Summer,Tomato,3686,82935,22.5
Andhra Pradesh,Krishna,2016,Rabi,Rice,23130,888192,38.4
Andhra Pradesh,Krishna,2017,Kharif,Cotton,12693,280515,22.1
Andhra Pradesh,Krishna,2017,Rabi,Mustard,14969,196093,13.1
Andhra Pradesh,Krishna,2017,Rabi,Chickpea,11830,197561,16.7
Andhra Pradesh,Krishna,2017,Rabi,Wheat,8377,335917,40.1
Andhra Pradesh,Krishna,2017,Kharif,Ragi,5276,93912,17.8
Andhra Pradesh,Krishna,2017,Kharif,Jowar,18576,261921,14.1
Andhra Pradesh,Krishna,2017,Kharif,Tomato,12436,249963,20.1
Andhra Pradesh,Krishna,2017,Kharif,Rice,18108,731563,40.4
Andhra Pradesh,Krishna,2018,Kharif,Cotton,23800,437919,18.4
Andhra Pradesh,Krishna,2018,Rabi,Mustard,19332,278380,14.4
Andhra Pradesh,Krishna,2018,Rabi,Chickpea,11810,196046,16.6
Andhra Pradesh,Krishna,2018,Rabi,Wheat,10400,482560,46.4
Andhra Pradesh,Krishna,2018,Kharif,Ragi,5507,89764,16.3
Andhra Pradesh,Krishna,2018,Kharif,Jowar,8901,117493,13.2
Andhra Pradesh,Krishna,2018,Summer,Tomato,9650,204580,21.2
Andhra Pradesh,Krishna,2018,Rabi,Rice,7664,266707,34.8
Andhra Pradesh,Krishna,2019,Kharif,Cotton,15066,310359,20.6
Andhra Pradesh,Krishna,2019,Rabi,Mustard,6286,77317,12.3
Andhra Pradesh,Krishna,2019,Rabi,Chickpea,16478,242226,14.7
Andhra Pradesh,Krishna,2019,Rabi,Wheat,9665,411729,42.6
Andhra Pradesh,Krishna,2019,Kharif,Ragi,6884,136991,19.9
Andhra Pradesh,Krishna,2019,Kharif,Jowar,6852,103465,15.1
Andhra Pradesh,Krishna,2019,Kharif,Tomato,11101,222020,20.0
Andhra Pradesh,Krishna,2019,Rabi,Rice,7307,295933,40.5
Andhra Pradesh,Krishna,2020,Kharif,Cotton,14176,263673,18.6
Andhra Pradesh,Krishna,2020,Rabi,Mustard,15316,206766,13.5
Andhra Pradesh,Krishna,2020,Rabi,Chickpea,9757,171723,17.6
Andhra Pradesh,Krishna,2020,Rabi,Wheat,11801,552286,46.8
Andhra Pradesh,Krishna,2020,Kharif,Ragi,12885,204871,15.9
Andhra Pradesh,Krishna,2020,Rabi,Jowar,10131,151965,15.0
Andhra Pradesh,Krishna,2020,Kharif,Tomato,4542,91748,20.2
Andhra Pradesh,Krishna,2020,Rabi,Rice,21423,863346,40.3
Andhra Pradesh,Krishna,2021,Kharif,Cotton,21083,392143,18.6
Andhra Pradesh,Krishna,2021,Rabi,Mustard,9457,125778,13.3
Andhra Pradesh,Krishna,2021,Rabi,Chickpea,8328,118257,14.2
Andhra Pradesh,Krishna,2021,Rabi,Wheat,8274,333442,40.3
Andhra Pradesh,Krishna,2021,Kharif,Ragi,18692,325240,17.4
Andhra Pradesh,Krishna,2021,Rabi,Jowar,19570,285722,14.6
Andhra Pradesh,Krishna,2021,Kharif,Tomato,4779,116129,24.3
Andhra Pradesh,Krishna,2021,Rabi,Rice,14698,501201,34.1
Andhra Pradesh,Krishna,2022,Kharif,Cotton,20239,366325,18.1
Andhra Pradesh,Krishna,2022,Rabi,Mustard,12278,181714,14.8
Andhra Pradesh,Krishna,2022,Rabi,Chickpea,18758,307631,16.4
Andhra Pradesh,Krishna,2022,Rabi,Wheat,12228,498902,40.8
Andhra Pradesh,Krishna,2022,Kharif,Ragi,16288,260608,16.0
